conversation_id,conversation_topic,chat_type,domain,conv_has_task,is_task_evidence,message_id,message_index,from_user,content,has_task,task_sub_class,task_type,is_important,attribution,assignee,edge_case,notes
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,False,4c12c536-7347-48f2-bbe8-9fd3f2e65c52,0,sarahmitchell,"David, have you had a chance to look at the competitive analysis from last week?",False,Neither,,False,,,,1:1 → attribute to non-sender (David)
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,False,3e2feb50-5451-478a-bebe-a50fb7abcf26,1,davidpark,"Yes, reviewed it over the weekend. Solid work by the team. A few gaps in the enterprise segment though.",False,Neither,,False,,,,"Status update, no ask"
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,False,3be7ee20-1666-4dc9-9e92-aba49ca97df7,2,sarahmitchell,What gaps specifically? I want to make sure we address them before the board presentation on the 28th.,False,Neither,,True,,,,Question + board deadline → Important
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,False,397c4e11-cb78-4ab7-b88f-25b499a8fbeb,3,davidpark,"Mainly around our analytics offering vs. Asana and Monday.com. They've shipped AI-assisted resource allocation — we haven't. Also, our API ecosystem is lagging. I can put together a 2-pager summarizing the gaps with a proposed roadmap.",False,Neither,,False,,,commitment_with_info,Informational response + sender commitment. The commitment to create 2-pager is sender's own plan.
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,True,e9976544-fa21-47ee-a33b-ea5efb83064e,4,sarahmitchell,That would be perfect. Can you have it ready by Thursday? I want to review it before the pre-board sync on Friday.,True,RfA,Action Request,True,Implicit,davidpark,,Action request + hard deadline linked to board prep → Important
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,True,14cac337-2f45-452b-ac18-76c59ebb1aa7,5,davidpark,Thursday works. I'll pull in Alex for the technical feasibility piece.,False,Neither,,False,,,commitment_response,Acknowledgment + commitment by sender to do the work. Not a new task for Sarah.
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,True,ec35d1c7-dd38-4ef6-ab94-84d6169446c1,6,sarahmitchell,Great. Also — should we position the AI roadmap as a separate initiative or fold it into the core platform story?,True,RfK,Decision Request,False,Implicit,davidpark,,Decision request — asks David to weigh in on strategic direction
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,True,cba55b06-7209-4df7-aac6-06dc943c9ae6,7,davidpark,"I'd recommend folding it in. Positioning it separately risks signaling we're behind. If it's integrated, it looks like a natural evolution. Let me think on this a bit more and share my full take tomorrow.",False,Neither,,False,,,partial_answer_commitment,Partial answer + commitment for tomorrow. No new task for Sarah.
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,True,2975cf37-2720-420e-adc9-623a14cfc2cd,8,sarahmitchell,Makes sense. One more thing — did the infrastructure team confirm they can support the Q3 scale targets?,True,RfK,Question,False,Implicit,davidpark,,Knowledge question — Sarah needs confirmation
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,True,1dfe6629-8e42-42c6-ad39-a4c597531ce1,9,davidpark,James said they're at 85% confidence on the scale targets with current infra. The remaining 15% depends on the CDN migration finishing on time. I'll get a firm answer by end of week.,False,Neither,,False,,,,Informational response + commitment for follow-up
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,False,f21019fa-01ab-4d9f-863e-fd2e8a75456b,10,sarahmitchell,OK. Let me know as soon as you have it. We can't go to the board with gaps there.,False,Neither,,True,,,,Informational — expressing urgency but not assigning a new task. David already committed.
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,False,6b4761ac-76db-449f-9947-44b797976b96,11,davidpark,Understood. Will do.,False,Neither,,False,,,,Acknowledgment
e825a6bb-9012-4e3c-b952-5dd47bd6b112,Q2 Product Strategy & Board Prep,OneOnOne,Executive,True,False,200e4d10-3a18-453d-af2a-eb2f878b08a3,12,sarahmitchell,Thanks David. Talk tomorrow.,False,Neither,,False,,,,Social/closing
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,False,98d542b9-9da0-4d47-b19e-8ed9b934421f,0,sarahmitchell,"Rachel, I need your sign-off on the Q2 hiring plan. David's team needs 4 additional engineers and Michael wants 2 more AEs.",False,Neither,,True,,,,Approval request + hiring impact → Important
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,False,28378094-d694-4fc9-857c-d94d443f55af,1,racheltorres,"I saw the headcount request. The engineering asks are within budget, but the sales hires push us $180K over the Q2 operating plan. We'd need to pull from the discretionary pool.",False,Neither,,False,,,,"Informational response — no ask, providing analysis"
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,False,a1c89b2e-b02d-4bc0-8786-aa6b08662df5,2,sarahmitchell,What's left in the discretionary pool right now?,False,Neither,,False,,,,Knowledge request in 1:1
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,False,ff58ae7e-5f31-43c6-8a44-17f563405571,3,racheltorres,$420K. But $200K of that is earmarked for the customer event in June. So realistically we have about $220K of true flex.,False,Neither,,False,,,,Informational — answering the question
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,True,574db97c-4e14-443b-8550-1a9b7ac0589c,4,sarahmitchell,That's tight. Can we defer the customer event spend and reallocate?,True,RfK,Decision Request,False,Implicit,racheltorres,,Decision request — can we shift budget?
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,True,7a401bab-645a-43f9-b319-b28627fbb0f5,5,racheltorres,"We could, but Laura and Michael have been counting on that event for pipeline gen. I'd recommend we approve the engineering hires now and table the sales hires until we see Q1 close rates. If Q1 beats forecast, we'll have the room.",False,Neither,,False,,,,"Recommendation — informational, no new task"
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,True,16b420bc-6f96-4482-bccf-1d9e67c177ea,6,sarahmitchell,Fair. Let's go with that. Can you process the approval for the 4 engineering headcount today? David's already got candidates in final rounds.,True,RfA,Action Request,True,Implicit,racheltorres,,Action request + same-day deadline + hiring urgency → Important
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,False,743b1ec9-f9ea-4d2f-b317-0f95efa6a089,7,racheltorres,Will do. I'll send the approval through the system by 3 PM and copy Danielle on the HR side.,False,Neither,,False,,,,Commitment by sender — not a task for Sarah
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,False,c8a4a84e-0045-4a78-af0f-d70512a8feb4,8,sarahmitchell,Perfect. And let's revisit the sales hires after the Q1 close on April 15.,False,Neither,,False,,,deferred_plan,"Planning statement, no immediate task"
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,False,2f19ff92-3341-465a-9981-25d21442a92e,9,racheltorres,Noted. I'll flag it for our April budget sync.,False,Neither,,False,,,,Acknowledgment + commitment
5d567002-8766-4875-ace6-fb196dcb0fec,Q2 Hiring Budget Approval,OneOnOne,Finance,True,False,73d74de0-077f-44b5-bf15-f341892cf8cf,10,sarahmitchell,Thanks Rachel.,False,Neither,,False,,,,Social closing
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,False,e0c30d3e-99eb-447f-909c-dba845d8d0e9,0,alexkumar,"David, heads up — we're seeing elevated error rates on the API gateway. 5xx errors spiked to 12% in the last 10 minutes.",False,Neither,,True,,,,Incident notification — FYI but no task. IsImportant due to production impact.
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,False,079bb7da-a994-42ff-a591-f32e2fbe2d9a,1,davidpark,How many customers affected? Is this the US or EU cluster?,False,Neither,,True,,,,Urgent questions during active incident → Important
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,False,e66509b1-7d09-435b-aed4-d39372defc47,2,alexkumar,Both clusters. We're estimating 15K+ active users impacted. James is investigating — looks like the last deployment introduced a connection pool leak.,False,Neither,,True,,,,"Incident details — important context, no task"
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,True,0955385c-84be-44df-8189-b3c7f33256b1,3,davidpark,Roll back the deployment immediately. Don't wait for root cause.,True,RfA,Action Request,True,Implicit,alexkumar,,Critical action request during outage → Important
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,True,287fe64e-eb47-4cf9-bde6-197c8708cef4,4,alexkumar,"James is initiating the rollback now. ETA 5 minutes for the US cluster, 8 for EU.",False,Neither,,False,,,,Status update — rollback in progress
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,True,5d9ab97f-c5c3-4250-b8a5-53c2b140fb1a,5,davidpark,Good. I need you to send a status update to the exec distribution list. Sarah will ask about this in the morning.,True,RfA,Action Request,True,Implicit,alexkumar,,Action request for stakeholder communication during incident
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,False,cb5c73ec-2c11-4e33-9cdb-83756def0ca6,6,alexkumar,On it. I'll draft the exec update as soon as rollback is confirmed.,False,Neither,,False,,,,Commitment by sender
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,False,bfede285-9791-4d52-b33d-46aa81aa038b,7,davidpark,What's our confidence that the rollback fully resolves this? Any chance it's infrastructure-related too?,False,Neither,,True,,,,Critical diagnostic question during incident
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,False,e10c4412-5b50-407d-95a0-507bf9bfe756,8,alexkumar,"95% confident it's the deployment. Connection pool metrics correlate exactly with the deploy timestamp. Infra metrics are clean — CPU, memory, disk all normal.",False,Neither,,False,,,,Informational response
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,True,83e81f3b-9306-4ed8-b35a-c4594a2d0417,9,alexkumar,Update: US cluster rollback complete. Error rates dropping. EU rollback in progress.,False,Neither,,True,,,,Status update during incident — still important context
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,True,2ecfe100-a763-4503-9cc1-19c3fd92daf8,10,davidpark,Great. Let me know when EU is confirmed clean. And schedule a postmortem for tomorrow — I want the full team there.,True,RfA,Scheduling,False,Implicit,alexkumar,,Two tasks: notification + scheduling. Both for Alex in 1:1.
c4ef5831-42e6-4adb-a24b-25ff69d5869e,Production Incident — API Gateway Outage,OneOnOne,Engineering,True,False,01cb06fb-198f-4739-be5f-c36bf4ae3864,11,alexkumar,EU is clean now. All error rates back to baseline. Total impact window was about 22 minutes. I'll set up the postmortem for 10 AM tomorrow and send the exec update in the next 30 minutes.,False,Neither,,False,,,,Status report + commitment — not a new task for David
